DATA1
Training Fold 1/5
Fold 2, Epoch 700/4000, Train Loss: 2.20, Val Loss: 2.69, R2: 0.50, RMSE: 1.64, RPD: 1.42
Fold 2, Epoch 800/4000, Train Loss: 1.84, Val Loss: 2.67, R2: 0.51, RMSE: 1.63, RPD: 1.42
Fold 2, Epoch 900/4000, Train Loss: 1.86, Val Loss: 2.47, R2: 0.54, RMSE: 1.57, RPD: 1.48
Fold 2, Epoch 1000/4000, Train Loss: 1.95, Val Loss: 2.57, R2: 0.52, RMSE: 1.60, RPD: 1.45
Fold 2, Epoch 1100/4000, Train Loss: 1.69, Val Loss: 2.39, R2: 0.56, RMSE: 1.55, RPD: 1.50
Fold 2, Epoch 1200/4000, Train Loss: 2.04, Val Loss: 2.60, R2: 0.52, RMSE: 1.61, RPD: 1.44
Fold 2, Epoch 1300/4000, Train Loss: 1.79, Val Loss: 2.36, R2: 0.56, RMSE: 1.54, RPD: 1.51
Fold 2, Epoch 1400/4000, Train Loss: 1.47, Val Loss: 2.42, R2: 0.55, RMSE: 1.56, RPD: 1.49
Fold 2, Epoch 1500/4000, Train Loss: 1.76, Val Loss: 2.08, R2: 0.61, RMSE: 1.44, RPD: 1.61
Fold 2, Epoch 1600/4000, Train Loss: 1.78, Val Loss: 2.23, R2: 0.59, RMSE: 1.49, RPD: 1.56
Fold 2, Epoch 1700/4000, Train Loss: 1.38, Val Loss: 2.04, R2: 0.62, RMSE: 1.43, RPD: 1.63
Fold 2, Epoch 1800/4000, Train Loss: 1.49, Val Loss: 2.16, R2: 0.60, RMSE: 1.47, RPD: 1.58
Fold 2, Epoch 1900/4000, Train Loss: 1.84, Val Loss: 2.12, R2: 0.61, RMSE: 1.46, RPD: 1.60
Fold 2, Epoch 2000/4000, Train Loss: 1.46, Val Loss: 2.01, R2: 0.63, RMSE: 1.42, RPD: 1.64
Fold 2, Epoch 2100/4000, Train Loss: 1.73, Val Loss: 1.75, R2: 0.68, RMSE: 1.32, RPD: 1.76
Fold 2, Epoch 2200/4000, Train Loss: 1.50, Val Loss: 1.82, R2: 0.66, RMSE: 1.35, RPD: 1.72
Fold 2, Epoch 2300/4000, Train Loss: 1.42, Val Loss: 1.84, R2: 0.66, RMSE: 1.36, RPD: 1.71
Fold 2, Epoch 2400/4000, Train Loss: 1.67, Val Loss: 1.64, R2: 0.70, RMSE: 1.28, RPD: 1.82
Fold 2, Epoch 2500/4000, Train Loss: 1.36, Val Loss: 1.73, R2: 0.68, RMSE: 1.31, RPD: 1.77
Fold 2, Epoch 2600/4000, Train Loss: 1.57, Val Loss: 1.65, R2: 0.69, RMSE: 1.29, RPD: 1.81
Fold 2, Epoch 2700/4000, Train Loss: 1.36, Val Loss: 1.73, R2: 0.68, RMSE: 1.32, RPD: 1.77
Fold 2, Epoch 2800/4000, Train Loss: 1.24, Val Loss: 1.69, R2: 0.69, RMSE: 1.30, RPD: 1.79
Fold 2, Epoch 2900/4000, Train Loss: 1.17, Val Loss: 1.50, R2: 0.72, RMSE: 1.23, RPD: 1.90
Fold 2, Epoch 3000/4000, Train Loss: 1.31, Val Loss: 1.67, R2: 0.69, RMSE: 1.29, RPD: 1.80
